0,not_nan,not_nan,1,Fructose_bisphosphate_aldolase,AguA1_agmatine_deiminase,Alcohol_dehydrogenase_2,Mannitol_dehydrogenase,Alcohol_dehydrogenase_1,Phosphofructokinase ,Glycerol_dehydratase_small_subunit_PduE,Glycerol_dehydratase_medium_subunit_PduD,Transaldolase,Galactose_1_phosphate_uridyltransferase,Mannitol_phosphate_dehydrogenase,UDP_galactose_4_epimerase,Pyruvate_formate_lyase,Phosphoketolase,Ornithine_decarboxylase,Galactose_6_phosphate_isomerase,Transketolase,Lactaldehyde_dehydrogenase,Dextransucrase,Devansucrase
201,AEMJ00000000,Leuconostoc inhae ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1
202,FMAO00000000,Weissella bombi ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0
203,ACKU00000000,Weissella paramesenteroides ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0
204,JQBP00000000,Weissella kandleri,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
205,FMAW00000000,Weissella hellenica ,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
206,HE575133_82.fna.fasta,Weissella thailandensis ,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
207,CP014332,Weissella jogaejeotgali ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0
208,CP037940,Liquoricoccoides cryptocerci,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
209,CAKV00000000,Leuconostoc pseudomesenteroides ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0
210,BMBS01000000,Leuconostoc falkenbergensis ,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0
211,AZDS00000000,Fructilactobacillus fructivorans,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
212,QEKT00000000,Convivina intestini ,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
213,QRAS00000000,Weissella soli ,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
214,CP001753,Leuconostoc kimchii,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0
215,BJDT00000000,Weissella sagaensis ,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
216,JQCD00000000,Weissella minor,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0
217,AKGG00000000,Weissella koreensis ,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
218,BAWR00000000,Weissella oryzae ,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
219,SDGZ00000000,Weissella muntiaci ,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
220,ANCA00000000,Weissella Weissella ceti ,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
221,JQBM00000000,Weissella viridescens,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
222,JQAX00000000,Weissella halotolerans,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
223,NZ_JAFBEO000000000.1,Weissella uvarum,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
224,AYZI00000000,Fructilactobacillus florum,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
225,JQAY00000000,Weissella confusa,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
226,CP000411,Oenococcus oeni ,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
227,AEGQ00000000,Leuconostoc lactis ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
228,AZEC00000000,Schleiferilactobacillus perolens,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0
229,AZEE00000000,Secundilactobacillus odoratitofui,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1
230,AZEN00000000,Lentilactobacillus parakefiri,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
231,AYYM00000000,Fructilactobacillus sanfranciscensis,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
232,AZDG00000000,Companilactobacillus tucceti,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
233,AZDT00000000,Levilactobacillus namurensis,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
234,AYZH00000000,Levilactobacillus senmaizukei,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
235,AZEB00000000,Lentilactobacillus kisonensis,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0
236,RHOA00000000,Levilactobacillus tangyuanensis,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
237,JAAXPO000000000,Leuconostoc holzapfelii ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
238,SULH00000000,Levilactobacillus enshinensis,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
239,JQBH00000000,Fructobacillus fructosus ,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
240,GCA_009864005.1,Furfurilactobacillus milium,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1
241,RHNO00000000,Levilactobacillus yonginensis,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
242,AZCP00000000,Levilactobacillus brevis,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1
243,RKLX00000000,Levilactobacillus suantsaiihabitans,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0
244,RHOB00000000,Levilactobacillus angrenensis,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
245,RHNW00000000,Levilactobacillus mulengensis,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
246,RHNN00000000,Levilactobacillus cerevisiae,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
247,AZCX00000000,Secundilactobacillus kimchicus,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0
248,BCMF00000000,Secundilactobacillus mixtipabuli,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0
249,BBJM00000000,Secundilactobacillus oryzae,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
250,AYZM00000000,Secundilactobacillus similis,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
251,AYYR00000000,Secundilactobacillus collinoides,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1
252,GCA_000277855.1,Furfurilactobacillus rossiae,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
253,AZFF00000000,Furfurilactobacillus rossiae,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
254,JAIWJE000000000,Furfurilactobacillus rossiae,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
255,GCF_013394005.1,Furfurilactobacillus rossiae,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
256,JAIWJH000000000,Furfurilactobacillus milium,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
257,JAIWJG000000000,Furfurilactobacillus milium,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
258,JAIWJF000000000,Furfurilactobacillus milium,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1
259,FUA3126,Furfurilactobacillus rossiae,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
260,AYZR00000000,Lentilactobacillus senioris,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
261,AZED00000000,Lentilactobacillus otakiensis,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
262,AZFC00000000,Levilactobacillus spicheri,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
263,AZEA00000000,Lentilactobacillus sunkii,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
264,BJOS01000000,Lentilactobacillus buchneri silagei,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
265,AZDM00000000,Lentilactobacillus buchneri buchneri,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
266,AZDF00000000,Lentilactobacillus hilgardii,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
267,AZGK00000000,Lentilactobacillus parabuchneri,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
268,OVSN00000000,Lentilactobacillus raoultii,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1
269,AZFY00000000,Lentilactobacillus farraginis,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
270,QCXQ00000000,Levilactobacillus bambusae,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
271,CP018906,Lentilactobacillus curieae,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
272,AYYV00000000,Lentilactobacillus kefiri,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
273,AZEI00000000,Lentilactobacillus rapi,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0
274,JQCB00000000,Furfurilactobacillus siliginis,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
275,GCA_001437435.1,Furfurilactobacillus siliginis,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
276,JABUXR00000000,Limosilactobacillus urinaemuleris,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
277,AZFS00000000,Levilactobacillus hammesii,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0
278,RHNX00000000,Levilactobacillus fujinensis,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
279,AZFW00000000,Schleiferilactobacillus harbinensis,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
280,GCA_009863985.1,Furfurilactobacillus milium,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
281,AZFE00000000,Paucilactobacillus oligofermentans,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0
282,AZDV00000000,Levilactobacillus acidifarinae,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0
283,AZEY00000000,Lentilactobacillus diolivorans,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0
284,AZFZ00000000,Lentilactobacillus parafarraginis,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1
285,JQBT00000000,Fructilactobacillus lindneri,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
286,AYYQ00000000,Apilactobacillus ozensis,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
287,AZDW00000000,Levilactobacillus zymae,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0
288,JQAU00000000,Limosilactobacillus fermentum,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0
289,BCAH00000000,Limosilactobacillus gorillae,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0
290,QXIL00000000,Levilactobacillus suantsaii,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1
291,RHNZ00000000,Levilactobacillus fuyuanensis,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0
292,AZCZ00000000,Levilactobacillus parabrevis,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0
293,AZDP00000000,Levilactobacillus koreensis,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
294,JABEQQ00000000,Lentilactobacillus kribbianus,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1
295,BCMJ00000000,Secundilactobacillus silagincola,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
296,BCMI00000000,Secundilactobacillus pentosiphilus,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
297,BCMG00000000,Secundilactobacillus silagei ,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
298,AZFK00000000,Limosilactobacillus ingluviei,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0
299,AZFD00000000,Secundilactobacillus paracollinoides,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0
300,AZGJ00000000,Secundilactobacillus malefermentans,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
301,WNJO00000000,Secundilactobacillus folii,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1
302,JQCA00000000,Levilactobacillus paucivorans,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0
303,RHNY00000000,Levilactobacillus tongjiangensis,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
304,RHOD00000000,Levilactobacillus lindianensis,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1
305,AZFN00000000,Limosilactobacillus gastricus,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0
306,RHOC00000000,Levilactobacillus huananensis,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0
307,AZGC00000000,Limosilactobacillus equigenerosi,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
308,JQCH00000000,Paucilactobacillus hokkaidonensis,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
309,AWTT00000000,Paucilactobacillus wasatchensis,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0
310,BJEB00000000,Paucilactobacillus nenjiangensis,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0
311,BJDM00000000,Paucilactobacillus kaifaensis,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
312,GCF_007989765.1,Furfurilactobacillus siliginis,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
313,AYYY00000000,Paucilactobacillus vaccinostercus,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
314,AZGF00000000,Paucilactobacillus suebicus,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0
315,ASM1414558,Limosilactobacillus agrestis,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
316,AZGE00000000,Limosilactobacillus oris,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0
317,AZEQ00000000,Limosilactobacillus mucosae,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1
318,ASM1414550,Limosilactobacillus fastidiosus,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0
319,AZER00000000,Limosilactobacillus frumenti,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
320,AZGO00000000,Limosilactobacillus pontis,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1
321,AZGL00000000,Limosilactobacillus vaginalis,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1
322,JABUXQ00000000,Limosilactobacillus portuensis,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
323,JQBW00000000,Limosilactobacillus secaliphilus,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
324,AVAA00000000,Schleiferilactobacillus shenzhenensis,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
325,NZ_JAFBDN000000000.1,Liquoricoccoides beninensis,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
326,AFVZ00000000,Oenococcus kitaharae ,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
327,W.fabaria_LMG_24289,Liquoricoccoides fabaria,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
328,DQ489736,Leuconostoc citreum,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1
329,CP015247,Leuconostoc suionicum ,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
330,SDGY00000000,Leuconostoc litchii ,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
331,AEIZ00000000,Leuconostoc fallax ,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
332,JAAXPN000000000,Liquoricoccoides fabalis,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0
333,CP029684,Oenococcus sicerae ,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
334,ACKV00000000,Leuconostoc mesenteroides cremoris,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
335,CP014611,Leuconostoc jonggajibkimchii ,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
336,CP012009,Leuconostoc mesenteroides dextranicum,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
337,CP003851,Leuconostoc carnosum,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
338,W.ghanensis_LMG_24286,Liquoricoccoides ghanensis,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
339,POST00000000,Apilactobacillus timberlakei,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
340,POSN00000000,Apilactobacillus quenuiae,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
341,POSO00000000,Apilactobacillus micheneri,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
342,AZCK00000000,Apilactobacillus kunkeei,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
343,CP032626,Apilactobacillus bombintestini,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
344,AZEW00000000,Limosilactobacillus coleohominis,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
345,JXCT00000000,Apilactobacillus apinorum,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1
346,CP034726,Acetilactobacillus jinshanensis,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
347,BBXT00000000,Fructobacillus tropaeoli ,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
348,BBXQ00000000,Fructobacillus ficulneus ,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
349,FNWS00000000,Fructobacillus  pseudoficulneus ,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
350,FOLI00000000,Fructobacillus durionis ,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
351,AXCV00000000,Oenococcus alcoholitolerans ,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
352,AEKT01000001,Weissella cibaria ,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
